_index_reports,_index_players,Assists,Blocks,Minutes played,Points,Total rebounds,Steals
126,265,7.0,,32.0,25.0,,
127,240,12.0,,33.0,26.0,,
127,498,3.0,,32.0,17.0,5.0,
127,41,,,,,,
128,154,,,,13.0,,
128,293,,,,13.0,,
128,415,,,,25.0,,
128,376,,,,13.0,,
128,449,,,,22.0,9.0,
128,340,7.0,,,28.0,5.0,1.0
128,177,,,21.0,22.0,,
129,447,,,,,,
130,447,,,18.0,14.0,,
130,426,5.0,,,9.0,,
130,214,,,,8.0,,
130,67,,,,8.0,,
130,346,,,17.0,9.0,,
130,169,,,,8.0,,
130,317,,,,10.0,,
130,512,,,,13.0,8.0,
130,153,6.0,,,36.0,6.0,3.0
131,35,5.0,2.0,36.0,17.0,7.0,1.0
131,474,,3.0,,,9.0,
131,112,,,18.0,8.0,,
131,294,,,,21.0,,
132,250,4.0,,,29.0,3.0,
132,467,2.0,2.0,,19.0,7.0,
132,430,,,,15.0,16.0,
132,460,,,,19.0,,4.0
132,175,3.0,,,33.0,12.0,
132,540,,,,22.0,6.0,
133,469,,,,10.0,,
133,154,,,,12.0,,
133,88,,,,13.0,,
133,227,,,18.0,13.0,4.0,
133,406,6.0,,25.0,9.0,11.0,
133,185,,,,10.0,10.0,
133,266,5.0,,,29.0,4.0,
133,146,9.0,,,25.0,1.0,3.0
134,151,,,,18.0,,
134,458,,,,10.0,,
134,340,,,,28.0,,
134,177,,,32.0,26.0,,
134,523,,,,23.0,5.0,
134,501,,,,11.0,8.0,
134,301,,,,23.0,,
134,400,,,27.0,17.0,,
135,404,,,,18.0,19.0,
135,368,,,,21.0,,
135,458,,,,,4.0,
136,189,3.0,,39.0,16.0,4.0,
136,469,3.0,2.0,39.0,16.0,14.0,
136,154,5.0,,35.0,16.0,3.0,
136,196,,,40.0,9.0,12.0,4.0
136,448,,,,18.0,13.0,
136,227,1.0,,31.0,30.0,8.0,2.0
137,545,1.0,,,20.0,10.0,1.0
137,359,1.0,1.0,,14.0,14.0,1.0
137,527,2.0,,,31.0,6.0,2.0
137,138,12.0,2.0,,23.0,6.0,1.0
137,466,,,,15.0,8.0,1.0
137,288,4.0,,,21.0,5.0,2.0
137,389,2.0,,,13.0,11.0,1.0
137,3,4.0,2.0,,20.0,6.0,
137,387,2.0,1.0,,14.0,,
137,209,2.0,,,10.0,4.0,
138,175,3.0,,,24.0,10.0,2.0
138,212,4.0,,,16.0,7.0,
138,174,,,,16.0,15.0,
138,499,,,,33.0,,
138,452,6.0,,,25.0,,
139,48,,,,7.0,,
139,89,,,,35.0,9.0,
139,199,,,,10.0,4.0,
139,381,,,,35.0,,
139,111,,,,,10.0,
139,54,,,,13.0,10.0,
139,136,5.0,,,31.0,3.0,
139,238,,,,15.0,9.0,
139,80,,,,17.0,,
140,54,5.0,,,15.0,14.0,
140,136,4.0,,,20.0,5.0,
140,125,4.0,4.0,,17.0,20.0,
140,547,,,,26.0,,
141,187,,,,15.0,,
141,248,,,,7.0,8.0,
141,391,,,,16.0,,
141,235,,,,12.0,7.0,
141,174,,,,14.0,24.0,
142,139,,,27.0,12.0,12.0,
142,114,,,,,,
142,260,,,,,12.0,
143,386,,,,16.0,6.0,
143,258,,,,10.0,8.0,
143,271,5.0,,,33.0,,
143,538,11.0,,,19.0,,
143,418,,6.0,,25.0,12.0,
143,393,,,,17.0,,
144,250,,,,24.0,,
144,467,2.0,7.0,,25.0,,3.0
144,126,,,,10.0,,
144,312,,,35.0,24.0,,1.0
144,526,4.0,4.0,,25.0,8.0,
144,410,3.0,2.0,,17.0,4.0,1.0
145,495,,,29.0,15.0,,
145,498,,,30.0,22.0,,
145,469,2.0,1.0,26.0,18.0,5.0,
146,501,,,,20.0,20.0,
146,153,2.0,,,,4.0,
146,58,5.0,,,35.0,11.0,
146,207,1.0,,,10.0,,
147,35,5.0,,,32.0,6.0,
147,89,,2.0,,15.0,10.0,
147,231,3.0,1.0,,10.0,11.0,
147,456,,,,11.0,,
147,147,5.0,,,18.0,1.0,
147,4,1.0,,,9.0,1.0,
147,423,1.0,,,18.0,6.0,2.0
147,413,3.0,,,11.0,2.0,1.0
147,464,,,,20.0,,
147,363,7.0,,32.0,16.0,7.0,
147,57,,,,20.0,,
148,35,6.0,,,31.0,7.0,3.0
148,89,,3.0,,21.0,,
148,54,2.0,,,,,
148,33,2.0,,,15.0,2.0,2.0
148,418,3.0,,,29.0,,
148,459,4.0,,,19.0,,
148,382,5.0,,,26.0,7.0,
149,189,,,30.0,22.0,6.0,
149,469,,,,13.0,5.0,
149,415,,3.0,,13.0,3.0,3.0
149,88,6.0,,,14.0,3.0,
149,366,5.0,,,17.0,,
149,460,6.0,,,13.0,,
149,295,7.0,,,34.0,6.0,
149,264,,,20.0,15.0,10.0,
150,11,,,,18.0,5.0,
150,459,4.0,1.0,,36.0,20.0,2.0
150,331,,,,12.0,,
150,359,,,,10.0,,
150,527,,1.0,,31.0,,
150,138,11.0,,,19.0,,
150,117,,,,10.0,,
151,307,,,,,,1.0
151,58,7.0,,,26.0,7.0,1.0
151,125,2.0,1.0,,13.0,17.0,
151,282,,,,17.0,1.0,
151,240,12.0,,,13.0,4.0,2.0
151,207,,,,13.0,,
151,351,,,,14.0,,
151,414,3.0,1.0,,23.0,9.0,3.0
151,359,,2.0,,9.0,7.0,1.0
151,527,3.0,,,41.0,3.0,1.0
151,138,11.0,1.0,,18.0,5.0,1.0
152,11,,,,26.0,,
152,537,,,28.0,4.0,7.0,
152,459,,4.0,,22.0,19.0,
152,200,8.0,,,13.0,7.0,
152,89,,,14.0,10.0,,2.0
153,523,4.0,,,16.0,6.0,4.0
153,501,,,,13.0,12.0,
153,391,7.0,,,18.0,6.0,
153,293,,,,15.0,10.0,
153,88,6.0,,,15.0,4.0,3.0
153,469,6.0,,,10.0,6.0,
154,189,1.0,,,20.0,5.0,3.0
154,368,,,38.0,24.0,,
154,59,10.0,,31.0,20.0,2.0,
154,309,,,9.0,3.0,,
154,48,11.0,,37.0,17.0,5.0,2.0
154,385,,,25.0,22.0,6.0,
154,398,8.0,,32.0,16.0,1.0,1.0
155,213,2.0,,,22.0,10.0,
155,447,,,,22.0,13.0,
156,317,1.0,,,,,2.0
156,393,,,,21.0,3.0,1.0
156,168,1.0,,,17.0,7.0,
156,153,13.0,,,19.0,7.0,3.0
156,390,1.0,1.0,,18.0,3.0,2.0
156,281,4.0,,,16.0,5.0,1.0
156,332,,,,8.0,6.0,1.0
156,81,2.0,,,21.0,3.0,2.0
156,36,,,,8.0,,1.0
156,53,,,,8.0,,1.0
156,262,,,,8.0,,1.0
156,26,2.0,,,11.0,2.0,1.0
157,326,4.0,,,14.0,10.0,
157,44,,,,8.0,,
158,462,,,37.0,19.0,9.0,
158,458,4.0,,33.0,24.0,7.0,2.0
158,269,,,24.0,9.0,,
158,444,12.0,,33.0,15.0,6.0,4.0
158,251,,,31.0,20.0,8.0,
158,2,3.0,,,21.0,8.0,
158,345,,,,15.0,11.0,
158,3,2.0,3.0,39.0,26.0,10.0,
158,7,13.0,,,10.0,,
158,288,,,,12.0,,
158,412,,,,14.0,,
159,518,,,,10.0,12.0,
159,213,,,,19.0,,
159,457,5.0,,,13.0,1.0,2.0
159,460,3.0,,,20.0,7.0,4.0
159,295,,,,13.0,,
159,54,,3.0,,13.0,11.0,
159,281,4.0,1.0,,28.0,4.0,2.0
159,80,,,41.0,29.0,,
159,332,,1.0,,16.0,7.0,1.0
160,526,,,,8.0,,
160,81,5.0,,,4.0,5.0,
160,327,8.0,,,19.0,,2.0
160,174,,,21.0,15.0,9.0,
160,64,,,23.0,12.0,8.0,
160,258,,,,12.0,6.0,
160,271,7.0,,,12.0,6.0,
161,523,,,,20.0,,
161,308,,3.0,,19.0,10.0,
161,398,,,,23.0,3.0,3.0
162,271,13.0,,,12.0,,
162,379,,,17.0,,,
162,436,,,,,,
162,180,,,,,,
163,250,5.0,,,21.0,8.0,3.0
163,467,3.0,3.0,36.0,21.0,6.0,2.0
163,430,,,36.0,15.0,24.0,
163,126,,,14.0,13.0,,
163,49,,,34.0,17.0,8.0,
163,273,1.0,,,18.0,5.0,1.0
163,336,,,,11.0,,
163,539,,,23.0,13.0,,
164,62,,,,27.0,8.0,
164,406,11.0,,,14.0,6.0,5.0
164,185,,,,16.0,5.0,
164,423,,,,15.0,8.0,4.0
164,57,7.0,,,21.0,7.0,
165,271,2.0,1.0,,17.0,3.0,
165,362,1.0,,,19.0,15.0,1.0
165,360,2.0,,,13.0,,
165,242,3.0,2.0,31.0,14.0,,1.0
165,390,5.0,,,11.0,2.0,1.0
165,96,,1.0,,22.0,14.0,1.0
165,110,4.0,,,10.0,8.0,1.0
165,364,7.0,1.0,,28.0,3.0,1.0
165,446,7.0,2.0,,25.0,8.0,1.0
165,522,3.0,,,17.0,1.0,1.0
166,62,6.0,,,31.0,5.0,
166,272,,6.0,,7.0,7.0,
166,335,5.0,,,25.0,11.0,
167,466,2.0,3.0,,8.0,4.0,
167,527,2.0,1.0,,18.0,3.0,1.0
167,138,8.0,2.0,,19.0,,1.0
167,288,1.0,,,12.0,3.0,
167,385,3.0,,,16.0,8.0,2.0
167,308,,2.0,,19.0,5.0,4.0
167,48,5.0,,,8.0,10.0,
167,398,6.0,,,16.0,2.0,
167,292,2.0,,,11.0,1.0,
167,367,2.0,1.0,,14.0,4.0,
168,326,,,,30.0,11.0,
168,147,13.0,,,21.0,,
168,125,,,,26.0,18.0,
168,240,16.0,,40.0,22.0,,
168,547,5.0,,,26.0,,
169,181,2.0,1.0,,11.0,3.0,
169,33,3.0,,,,,
170,553,1.0,,,28.0,2.0,2.0
170,199,,,,22.0,3.0,2.0
170,7,,,10.0,,,
170,75,6.0,,28.0,9.0,2.0,1.0
170,306,4.0,,,8.0,6.0,2.0
170,177,,,29.0,10.0,4.0,
170,449,1.0,,,18.0,13.0,
170,340,6.0,,,30.0,4.0,
171,553,4.0,,,17.0,9.0,
171,199,,,,20.0,6.0,
171,7,11.0,,,8.0,,
171,490,,,,14.0,,
171,473,,,,14.0,,
171,362,3.0,,,18.0,4.0,
171,372,,,,17.0,,
171,242,6.0,,,15.0,4.0,
172,436,,,,12.0,11.0,
172,404,1.0,1.0,30.0,23.0,14.0,1.0
172,98,1.0,,22.0,12.0,1.0,1.0
172,46,3.0,,33.0,16.0,9.0,3.0
172,452,5.0,,,18.0,5.0,2.0
172,340,,,28.0,10.0,,
173,317,3.0,,,17.0,7.0,
173,153,11.0,,,40.0,10.0,
173,170,3.0,,,19.0,4.0,
173,543,,,,28.0,,
173,462,,,,26.0,8.0,
173,244,5.0,,,36.0,6.0,
173,310,6.0,,,12.0,5.0,4.0
174,414,,,,21.0,7.0,
174,452,8.0,,,17.0,,
174,132,16.0,2.0,,27.0,11.0,2.0
174,58,2.0,,,45.0,,
174,125,,,,10.0,14.0,
174,282,,,,17.0,,
174,240,10.0,,,20.0,,
175,418,2.0,,,14.0,8.0,
175,34,,,,6.0,8.0,
175,393,,,,7.0,9.0,
175,536,,,,14.0,5.0,
175,448,,,,15.0,11.0,
175,49,,,,16.0,11.0,
175,196,,,,12.0,11.0,
175,336,5.0,,30.0,11.0,,
176,299,,,,18.0,15.0,
176,310,14.0,,,16.0,,
176,316,,,,35.0,,
176,145,10.0,,,13.0,,
177,448,,,,14.0,13.0,
177,23,7.0,,,9.0,,2.0
177,303,,,,16.0,,
177,482,1.0,,,12.0,,1.0
177,321,,,,2.0,1.0,
178,553,,,,14.0,,
178,266,,,,27.0,,
178,146,8.0,,,36.0,6.0,3.0
178,458,6.0,5.0,,23.0,16.0,
178,444,6.0,,,16.0,,
178,391,6.0,,18.0,18.0,,
179,391,,,,16.0,,
179,250,,,,24.0,7.0,
179,460,,,,23.0,5.0,
180,380,,,31.0,24.0,,
180,534,,,,25.0,9.0,
180,555,,1.0,,,,2.0
180,473,9.0,,29.0,21.0,,
180,75,,,20.0,5.0,,
180,322,,,,20.0,11.0,
180,246,,,46.0,47.0,,
180,156,,,,14.0,,
180,277,,,,17.0,5.0,5.0
180,331,18.0,,52.0,19.0,,
180,289,,,20.0,14.0,12.0,
181,250,,,,14.0,5.0,
181,504,,,,24.0,17.0,
181,179,,,,12.0,,
181,454,,,,10.0,,
181,316,9.0,,,26.0,7.0,
181,419,2.0,2.0,,19.0,13.0,
181,71,,,40.0,16.0,11.0,
181,481,,,,15.0,,
181,145,,,,18.0,,
182,317,2.0,,,11.0,1.0,
182,393,1.0,,,12.0,4.0,
182,170,3.0,,,16.0,2.0,2.0
182,153,15.0,,,41.0,7.0,1.0
182,149,4.0,1.0,,13.0,5.0,
182,316,8.0,,,19.0,13.0,
182,419,,1.0,,24.0,5.0,2.0
182,102,,,,,10.0,
182,481,2.0,,,15.0,3.0,
182,145,4.0,,,,,
182,343,,,,11.0,,
182,155,,,,11.0,,
183,108,4.0,,,19.0,6.0,
183,96,,,,14.0,,
183,404,,,31.0,13.0,9.0,
183,213,,,,21.0,,
183,518,3.0,1.0,32.0,18.0,11.0,2.0
183,510,,,,13.0,,
183,320,,,,13.0,,
183,444,,,,13.0,,
183,85,,,,13.0,,
184,495,,,,18.0,7.0,
184,295,,,,11.0,,1.0
184,320,,2.0,32.0,22.0,,
184,264,,,17.0,14.0,5.0,
184,185,,,,12.0,14.0,
184,446,7.0,,,20.0,2.0,4.0
184,44,,,23.0,14.0,10.0,
185,213,1.0,,,10.0,1.0,
185,510,1.0,1.0,,18.0,7.0,
185,320,,,,8.0,5.0,
185,444,6.0,,,16.0,3.0,1.0
185,295,3.0,,,12.0,1.0,2.0
185,365,,,,13.0,5.0,
185,334,1.0,,,9.0,3.0,1.0
185,174,,,,22.0,17.0,1.0
185,499,3.0,,,22.0,2.0,2.0
185,452,4.0,,,21.0,2.0,2.0
185,500,8.0,2.0,,15.0,7.0,2.0
186,73,1.0,1.0,,14.0,6.0,1.0
186,265,2.0,,,14.0,7.0,2.0
186,36,2.0,,30.0,19.0,2.0,2.0
186,53,6.0,,27.0,12.0,4.0,3.0
186,332,,,,13.0,7.0,1.0
186,414,2.0,,,19.0,,
186,359,,1.0,,10.0,12.0,1.0
186,527,,,,19.0,,
186,138,14.0,1.0,,26.0,6.0,1.0
186,466,,3.0,,7.0,6.0,
187,312,3.0,,,22.0,2.0,1.0
187,463,11.0,,,11.0,,
187,523,3.0,2.0,,30.0,17.0,2.0
187,369,6.0,,38.0,17.0,10.0,
188,189,1.0,1.0,,21.0,9.0,1.0
188,469,2.0,,40.0,19.0,13.0,
188,154,2.0,,40.0,13.0,,
188,88,7.0,,,9.0,,
188,54,,,,16.0,13.0,
188,281,,,,21.0,9.0,
188,261,3.0,,30.0,5.0,,
188,22,,,,12.0,,
189,112,,,24.0,12.0,4.0,
189,456,4.0,2.0,,19.0,8.0,2.0
189,147,6.0,,,17.0,3.0,
189,202,,,,13.0,,
189,292,,,,10.0,,
189,404,,2.0,,10.0,9.0,
189,368,,,,20.0,3.0,
189,142,6.0,,,22.0,3.0,
190,136,1.0,,,30.0,7.0,
191,514,4.0,,,20.0,,5.0
191,118,1.0,3.0,,25.0,9.0,2.0
191,128,,3.0,,17.0,12.0,1.0
191,485,12.0,0.0,,13.0,,3.0
191,62,1.0,1.0,,28.0,6.0,
191,272,,1.0,20.0,,,1.0
191,437,,,,8.0,13.0,
191,405,,,,2.0,,
191,335,8.0,,,26.0,4.0,
191,504,,,,17.0,14.0,
192,62,,,,,,
192,335,5.0,,,,,
192,49,,,,,,
193,82,,,,16.0,3.0,3.0
193,137,6.0,,,17.0,5.0,
193,381,7.0,,37.0,19.0,3.0,
193,64,,2.0,27.0,13.0,8.0,
193,514,,,40.0,17.0,5.0,
193,128,2.0,2.0,,27.0,12.0,
193,485,15.0,,,9.0,6.0,
193,118,,,24.0,15.0,5.0,
194,380,,,,5.0,,
194,419,1.0,,,27.0,16.0,
194,102,3.0,1.0,,2.0,12.0,
194,145,7.0,,,24.0,2.0,1.0
194,290,,,,9.0,,
194,93,,,,9.0,,
194,213,5.0,1.0,,21.0,11.0,2.0
194,345,1.0,,,16.0,,1.0
194,510,,4.0,,12.0,,1.0
194,444,8.0,1.0,,20.0,4.0,1.0
194,320,,,,10.0,,1.0
195,250,,,,17.0,,
195,467,,,,16.0,12.0,
195,504,,,,14.0,11.0,
195,312,4.0,,,14.0,,
195,157,5.0,,,9.0,,
195,436,,,,13.0,9.0,
195,180,,,,19.0,11.0,
195,404,,,,,18.0,
195,56,5.0,,,23.0,,
196,282,3.0,,,17.0,3.0,
196,240,16.0,,,20.0,8.0,
196,514,1.0,,,7.0,,
196,128,1.0,,,16.0,11.0,
197,527,,,,31.0,5.0,
197,138,15.0,,,15.0,,
197,415,6.0,,,25.0,6.0,
197,335,11.0,,,35.0,14.0,
198,35,6.0,,,25.0,7.0,
198,147,5.0,,,13.0,,
198,183,,,,12.0,,
198,246,,,,16.0,10.0,
198,119,,,29.0,12.0,9.0,
198,549,,,,12.0,,
199,329,,,21.0,16.0,17.0,
200,324,,,,11.0,15.0,
200,359,,,,14.0,8.0,
200,527,,,,13.0,1.0,
200,138,7.0,,,11.0,7.0,
200,377,,,,14.0,,
200,414,4.0,,,16.0,7.0,
200,452,2.0,,,20.0,,2.0
200,340,4.0,,20.0,18.0,,
200,159,,,17.0,13.0,5.0,
201,514,,1.0,,29.0,1.0,
201,485,5.0,,,5.0,,
201,11,2.0,2.0,,,,
201,459,,,,,,
202,418,,,,27.0,,
202,193,6.0,,,10.0,3.0,
202,382,,,,27.0,,
202,393,,1.0,,26.0,3.0,1.0
202,118,4.0,1.0,,12.0,12.0,
202,128,1.0,1.0,,19.0,12.0,
202,514,2.0,2.0,,15.0,,
202,485,7.0,,,11.0,5.0,
202,468,2.0,3.0,,12.0,2.0,
202,402,1.0,,,14.0,9.0,
202,223,1.0,,,10.0,4.0,
203,39,,,,15.0,,
203,201,,,,14.0,,
203,20,,,,15.0,,
203,476,4.0,,,,9.0,
203,213,3.0,,,15.0,6.0,2.0
203,124,,,,12.0,10.0,
203,457,5.0,,,13.0,,
204,151,,,29.0,17.0,9.0,2.0
204,340,6.0,,,18.0,,
204,270,4.0,2.0,,25.0,7.0,
205,250,6.0,,34.0,25.0,9.0,1.0
205,460,,,,17.0,,
205,63,,,27.0,12.0,,
205,368,,,,10.0,,
205,476,,,28.0,16.0,,
205,189,,,,12.0,,
205,112,,,,12.0,,
206,65,,,,14.0,,
206,531,,,,,6.0,
206,84,,,,19.0,12.0,1.0
206,425,2.0,,,,,
206,359,,2.0,,14.0,10.0,
206,556,,,,16.0,7.0,
206,138,,,,31.0,,
207,271,,,34.0,21.0,,
207,362,4.0,,,16.0,6.0,3.0
207,360,4.0,,,19.0,3.0,4.0
207,242,5.0,,,16.0,4.0,
207,137,,,,28.0,,
207,381,7.0,,,29.0,4.0,
207,260,,1.0,,7.0,6.0,
208,385,,,,16.0,8.0,
208,398,10.0,,,25.0,6.0,
208,367,,,,22.0,3.0,
208,317,3.0,,,16.0,,
208,160,5.0,,,8.0,8.0,
208,153,10.0,,,40.0,15.0,
209,514,2.0,,,36.0,8.0,1.0
209,128,4.0,1.0,,21.0,7.0,
209,468,1.0,,,17.0,2.0,
209,374,2.0,,16.0,,3.0,1.0
209,203,7.0,,32.0,12.0,5.0,5.0
209,389,2.0,,,13.0,4.0,
209,387,1.0,1.0,,15.0,9.0,3.0
209,3,1.0,3.0,,26.0,3.0,
209,288,2.0,,,13.0,1.0,1.0
209,209,3.0,,,14.0,5.0,1.0
210,266,,,32.0,34.0,,
210,146,6.0,,,23.0,,
210,335,7.0,,,15.0,8.0,
211,444,9.0,,,30.0,5.0,
211,335,15.0,,40.0,31.0,11.0,
212,319,7.0,,,22.0,8.0,
212,546,8.0,,,10.0,10.0,
212,406,,1.0,,23.0,,3.0
212,266,,,,,,
212,146,,,,27.0,,6.0
213,250,,,,18.0,,
213,430,,,,12.0,14.0,
213,494,12.0,,,13.0,4.0,
213,298,4.0,,,14.0,4.0,
213,175,7.0,2.0,,12.0,,2.0
213,212,2.0,,,19.0,8.0,
213,215,,,,13.0,,
214,391,8.0,,,31.0,5.0,
214,335,7.0,,,46.0,11.0,
215,125,,,41.0,9.0,26.0,
215,240,12.0,,,,,
215,54,,,33.0,4.0,15.0,
215,80,,,,14.0,,
215,238,,,31.0,29.0,,
216,321,,,,18.0,20.0,
216,457,7.0,,,23.0,,3.0
216,446,5.0,,,25.0,6.0,4.0
216,215,,1.0,30.0,21.0,8.0,3.0
217,3,,,,20.0,,
217,104,7.0,,,21.0,8.0,
217,42,,,,21.0,,3.0
217,14,7.0,,,25.0,6.0,
218,75,5.0,,,18.0,3.0,
218,168,,,,4.0,,
218,149,,,,11.0,,
218,255,,,,9.0,,
219,35,,,,25.0,10.0,
219,54,,,17.0,,,
219,456,,,,11.0,,
219,33,,,,19.0,,
219,232,,,,15.0,,
219,4,,,,15.0,,
219,449,,,,19.0,,
219,340,,,,24.0,,
219,77,,,,9.0,,
219,177,,,,9.0,,
220,58,,,,16.0,9.0,
220,125,,,,8.0,14.0,
220,240,4.0,,,13.0,4.0,
220,547,,,,12.0,,
220,365,,,,17.0,,
220,510,,,,17.0,12.0,
220,444,10.0,,,7.0,2.0,2.0
220,85,2.0,,,,,
220,295,2.0,,,,,
221,425,,,,15.0,5.0,
221,527,7.0,,43.0,20.0,5.0,
221,440,4.0,,,21.0,,
221,377,5.0,,,15.0,8.0,
221,462,4.0,,,22.0,6.0,
221,523,,,,18.0,11.0,4.0
221,458,6.0,,,18.0,,3.0
221,187,,,17.0,10.0,,
222,62,,,,,,
222,335,,,,,,
222,499,,,,,,
222,448,3.0,1.0,37.0,21.0,18.0,
222,336,3.0,,29.0,10.0,2.0,
223,128,,,31.0,10.0,12.0,
223,514,,,37.0,18.0,6.0,
223,485,14.0,,,7.0,,
223,468,,,25.0,15.0,,
223,35,,,37.0,17.0,11.0,
223,533,,,,11.0,,
223,147,,,,12.0,,
223,202,,,,13.0,,
223,33,,,,11.0,,
223,508,,,15.0,17.0,,
224,62,4.0,1.0,,37.0,4.0,4.0
224,406,9.0,3.0,38.0,5.0,13.0,
224,185,,,,5.0,10.0,
224,266,2.0,1.0,,14.0,6.0,
224,146,3.0,,,28.0,1.0,
224,358,1.0,1.0,,26.0,6.0,1.0
224,321,1.0,,,8.0,18.0,
224,364,,,,7.0,,
224,132,6.0,,,21.0,5.0,1.0
224,446,3.0,,,9.0,1.0,2.0
225,213,,,,16.0,,2.0
225,295,,,,23.0,,
225,404,,,,25.0,29.0,
225,59,,,,,,
226,405,,,22.0,4.0,,
226,489,,,17.0,,,
227,418,5.0,4.0,,22.0,7.0,
227,393,,,,23.0,,
228,336,4.0,,26.0,9.0,2.0,
228,448,,,31.0,26.0,18.0,
228,82,,,,15.0,14.0,
228,137,4.0,,,16.0,2.0,
228,381,7.0,,,17.0,,
228,114,,,,9.0,6.0,
229,538,,,,26.0,,
229,546,,,15.0,15.0,,
229,232,,,31.0,18.0,10.0,
229,33,10.0,,27.0,17.0,,
229,202,5.0,,25.0,19.0,4.0,3.0
230,154,,,,9.0,,
230,88,,,16.0,,,
230,293,2.0,,,11.0,7.0,
230,305,,,,10.0,,
230,498,,,,10.0,,
230,316,3.0,,,29.0,5.0,2.0
230,419,,,,10.0,13.0,
230,102,,,,10.0,12.0,
230,145,5.0,,21.0,13.0,2.0,
230,524,1.0,,,10.0,3.0,
231,406,,,,20.0,,
231,146,,,,29.0,,
231,380,,,,,,
231,549,,,28.0,,,1.0
232,458,3.0,,,16.0,9.0,
232,340,5.0,,,29.0,,
232,177,3.0,2.0,,19.0,7.0,2.0
232,328,,,,16.0,,
232,250,4.0,,,31.0,,
232,430,,,,14.0,,
232,460,4.0,,,22.0,,3.0
233,418,4.0,4.0,,28.0,10.0,4.0
233,382,,,,20.0,,
233,35,,,,26.0,5.0,
233,89,,,,36.0,,
233,533,,2.0,,,,
234,393,,,,29.0,,
234,153,13.0,,,29.0,15.0,2.0
234,170,,,,23.0,,
234,62,2.0,3.0,,39.0,,3.0
234,406,9.0,1.0,,20.0,15.0,
234,266,,,,15.0,,
234,146,,1.0,,28.0,,
234,245,5.0,,,10.0,,
235,423,,,,12.0,3.0,
235,530,,3.0,,10.0,12.0,
235,134,,,26.0,10.0,3.0,2.0
235,476,5.0,,,11.0,4.0,
235,495,,5.0,31.0,14.0,15.0,
235,460,4.0,,,17.0,9.0,
235,295,4.0,,,12.0,,3.0
235,264,2.0,,,15.0,6.0,2.0
236,62,9.0,2.0,,32.0,,
236,550,,,,4.0,4.0,
236,316,,2.0,,34.0,,
236,419,,,,19.0,13.0,
237,514,,,,11.0,,
237,128,1.0,2.0,40.0,35.0,14.0,1.0
237,485,8.0,,28.0,22.0,,
237,175,7.0,2.0,40.0,18.0,4.0,
237,416,,,28.0,19.0,6.0,
237,314,,,28.0,16.0,,
238,299,,,36.0,21.0,,
238,244,8.0,,41.0,27.0,8.0,1.0
238,390,,,33.0,23.0,,
238,345,,,37.0,29.0,,4.0
238,3,,,44.0,30.0,17.0,
238,7,,,38.0,31.0,,
239,287,2.0,2.0,,10.0,13.0,1.0
239,385,,,,13.0,2.0,
239,48,4.0,2.0,,13.0,7.0,
239,398,5.0,,,25.0,7.0,1.0
239,292,,,,22.0,10.0,
239,367,,,,15.0,5.0,1.0
239,418,2.0,3.0,,,16.0,
239,291,8.0,,,17.0,5.0,1.0
239,382,9.0,,,22.0,,
239,507,,,,23.0,7.0,
240,2,,,37.0,26.0,,
240,83,6.0,,,15.0,,
240,412,13.0,,,14.0,,
240,288,,,,,,
240,3,,,,18.0,7.0,
240,523,,,,28.0,15.0,
240,458,,,,20.0,10.0,
240,369,,,,,,
240,444,11.0,,,13.0,,
240,391,2.0,,,13.0,2.0,
241,320,,,,,,
241,213,8.0,,37.0,17.0,12.0,
241,462,4.0,,41.0,14.0,8.0,
241,299,,,,21.0,15.0,
241,244,6.0,,,25.0,5.0,
242,187,5.0,,,16.0,6.0,1.0
242,523,6.0,3.0,,17.0,7.0,3.0
242,301,4.0,,,20.0,3.0,1.0
242,391,3.0,,,28.0,3.0,
242,324,1.0,,,14.0,7.0,1.0
242,447,2.0,,,30.0,7.0,1.0
242,97,2.0,,,14.0,5.0,2.0
242,497,3.0,2.0,,7.0,17.0,1.0
242,435,,,,,,2.0
242,136,9.0,1.0,,18.0,4.0,1.0
242,273,,,,,2.0,
242,392,,,,11.0,4.0,
243,418,2.0,3.0,,21.0,8.0,3.0
243,193,4.0,,30.0,10.0,1.0,
243,382,9.0,,,23.0,2.0,
243,49,6.0,1.0,39.0,16.0,10.0,2.0
243,273,1.0,,,,,1.0
243,336,10.0,,27.0,15.0,,
243,227,,,,16.0,,
243,421,,,,16.0,,
244,415,4.0,,,37.0,7.0,
244,305,4.0,,20.0,16.0,,
244,62,5.0,3.0,,37.0,5.0,2.0
244,272,1.0,6.0,,,,
244,335,14.0,,,24.0,19.0,
245,421,,,,11.0,,
245,58,,,37.0,14.0,,
245,125,,,,11.0,,
245,240,6.0,,,19.0,7.0,
245,547,,,,12.0,3.0,2.0
245,425,,,,11.0,,
245,324,,,,11.0,,
245,359,,,,18.0,,
245,527,,,,29.0,,
245,138,11.0,,,10.0,,
245,149,,,,9.0,5.0,
246,213,3.0,,,48.0,8.0,
246,124,,,,6.0,,
246,457,,,,6.0,,
246,460,,,,10.0,,
246,258,,,,10.0,,
246,295,3.0,,,23.0,3.0,
246,250,5.0,,,22.0,5.0,
246,467,,,,35.0,13.0,
246,9,,,18.0,13.0,,
246,463,7.0,,,19.0,,
247,345,,,,,14.0,
247,412,6.0,,,26.0,9.0,
247,213,,,,,,1.0
247,457,5.0,,,2.0,,
247,258,,,,14.0,11.0,
247,295,,,,15.0,,
