game_id,_index_team,Losses,Total points,Points in 4th quarter,Wins
487,28,13.0,102.0,,16.0
488,9,43.0,,,19.0
488,18,30.0,,,32.0
489,19,16.0,125.0,,37.0
489,11,30.0,109.0,,24.0
490,16,3.0,88.0,,1.0
490,15,,118.0,,3.0
491,3,29.0,94.0,,19.0
491,24,20.0,107.0,,27.0
492,28,3.0,95.0,,0.0
492,19,,103.0,,3.0
493,2,10.0,92.0,,18.0
493,7,16.0,96.0,,10.0
494,15,30.0,94.0,,31.0
494,8,11.0,87.0,,50.0
495,27,,,,
496,2,5.0,,,5.0
497,13,7.0,89.0,,6.0
497,21,6.0,111.0,,9.0
498,0,,,,
498,2,,,,
501,20,,,9.0,
501,25,,,27.0,
502,1,,101.0,,
502,26,1.0,100.0,,0.0
503,12,32.0,114.0,,18.0
503,20,31.0,109.0,,19.0
504,7,14.0,92.0,,11.0
504,21,13.0,104.0,,12.0
505,1,5.0,123.0,,15.0
505,17,15.0,101.0,,4.0
506,19,22.0,91.0,,45.0
506,13,26.0,83.0,,43.0
507,9,7.0,91.0,,6.0
507,7,9.0,97.0,,5.0
508,4,,,28.0,
508,27,,,20.0,
509,14,27.0,97.0,,8.0
509,18,25.0,77.0,,12.0
510,12,,,,
510,9,,,,
511,27,10.0,111.0,,8.0
511,5,10.0,116.0,32.0,7.0
512,22,6.0,115.0,,7.0
512,25,2.0,126.0,,13.0
513,13,36.0,109.0,,28.0
513,5,,91.0,,43.0
514,18,16.0,112.0,,19.0
514,10,27.0,96.0,,4.0
515,6,26.0,105.0,,53.0
515,14,,100.0,,
516,14,59.0,106.0,,21.0
516,26,31.0,120.0,,49.0
517,24,,91.0,,
517,5,23.0,99.0,,50.0
518,22,19.0,105.0,,26.0
518,6,16.0,115.0,,30.0
519,26,,,,
520,0,32.0,106.0,,46.0
520,15,40.0,98.0,,39.0
521,27,43.0,80.0,,28.0
521,7,42.0,88.0,,27.0
522,11,16.0,127.0,,11.0
522,27,13.0,114.0,,14.0
523,0,21.0,105.0,,27.0
523,22,22.0,87.0,,27.0
524,24,16.0,103.0,31.0,15.0
524,9,14.0,91.0,19.0,19.0
525,17,20.0,105.0,20.0,9.0
525,7,17.0,109.0,31.0,13.0
526,24,1.0,102.0,,3.0
526,1,2.0,99.0,,3.0
527,6,16.0,105.0,,31.0
527,14,40.0,93.0,,9.0
528,24,10.0,100.0,,5.0
528,1,3.0,112.0,,14.0
529,19,19.0,99.0,,48.0
529,26,34.0,98.0,,34.0
530,0,13.0,103.0,,21.0
530,12,15.0,100.0,,19.0
531,2,8.0,88.0,,16.0
531,23,12.0,86.0,,12.0
532,14,57.0,105.0,,15.0
532,11,42.0,116.0,,31.0
533,23,3.0,102.0,,8.0
533,3,4.0,93.0,,5.0
535,27,37.0,85.0,,25.0
535,23,28.0,104.0,,33.0
536,20,3.0,90.0,,0.0
536,16,1.0,102.0,,1.0
537,21,12.0,86.0,,3.0
537,8,2.0,91.0,,10.0
538,22,29.0,109.0,,41.0
538,5,35.0,97.0,,35.0
539,15,19.0,84.0,,25.0
539,0,21.0,89.0,28.0,24.0
540,1,14.0,107.0,21.0,51.0
540,8,14.0,85.0,,52.0
541,3,,,,
542,10,,99.0,,
542,2,5.0,,,10.0
543,19,26.0,117.0,,44.0
543,16,39.0,92.0,,27.0
544,3,33.0,94.0,,20.0
544,13,19.0,127.0,,34.0
545,7,48.0,114.0,,32.0
545,21,26.0,112.0,,54.0
546,3,26.0,93.0,,27.0
546,12,33.0,106.0,17.0,21.0
547,25,21.0,107.0,,44.0
547,15,32.0,109.0,,33.0
548,7,13.0,97.0,,7.0
548,28,8.0,114.0,,11.0
549,26,12.0,97.0,,15.0
549,2,14.0,88.0,,14.0
550,15,2.0,102.0,24.0,6.0
550,20,5.0,91.0,,2.0
551,26,35.0,132.0,,35.0
551,23,35.0,120.0,,36.0
552,22,,102.0,,1.0
552,28,1.0,101.0,,
553,13,,,,
553,9,,,,
554,18,44.0,106.0,,14.0
554,16,42.0,116.0,,16.0
555,8,,110.0,34.0,
555,23,,99.0,12.0,
556,5,1.0,115.0,,1.0
556,6,1.0,109.0,,1.0
557,15,28.0,108.0,,42.0
557,25,28.0,92.0,,41.0
559,1,9.0,104.0,,53.0
559,7,36.0,94.0,,25.0
560,10,,,,
560,18,,,,
561,17,,106.0,,
561,3,33.0,122.0,,21.0
563,28,,,,
563,14,,,,
564,8,7.0,114.0,,64.0
564,6,27.0,98.0,,43.0
566,6,,107.0,,1.0
566,1,1.0,92.0,,0.0
567,5,,,,
567,26,,,,
569,1,13.0,100.0,,46.0
569,12,30.0,99.0,,31.0
571,15,33.0,92.0,,35.0
571,13,36.0,85.0,,33.0
572,5,17.0,128.0,34.0,38.0
572,9,34.0,104.0,20.0,20.0
573,11,42.0,104.0,,30.0
573,10,63.0,103.0,,9.0
574,26,10.0,102.0,,21.0
574,14,21.0,98.0,,9.0
575,6,,93.0,,
575,21,2.0,90.0,,0.0
576,28,,112.0,,
576,10,,95.0,,
577,14,21.0,113.0,,4.0
577,4,16.0,95.0,,10.0
578,24,6.0,93.0,,17.0
578,13,18.0,84.0,,6.0
579,3,28.0,105.0,,18.0
579,16,,103.0,,
580,14,51.0,77.0,,12.0
580,22,28.0,106.0,,34.0
581,6,22.0,101.0,,42.0
581,27,40.0,94.0,,27.0
582,1,16.0,89.0,,26.0
582,13,27.0,69.0,,14.0
583,18,23.0,99.0,,10.0
583,25,10.0,91.0,,22.0
584,21,8.0,107.0,,14.0
584,22,10.0,94.0,,14.0
585,12,32.0,94.0,,36.0
585,25,21.0,101.0,,46.0
586,23,20.0,110.0,,14.0
586,11,21.0,103.0,,12.0
587,23,,98.0,,
587,6,,84.0,,
588,11,24.0,99.0,23.0,18.0
588,1,16.0,109.0,29.0,27.0
589,1,16.0,106.0,,56.0
589,27,46.0,98.0,24.0,27.0
590,27,64.0,91.0,,15.0
590,4,40.0,99.0,,39.0
591,4,35.0,128.0,36.0,25.0
591,5,31.0,121.0,,29.0
592,3,31.0,96.0,,18.0
592,14,41.0,99.0,,11.0
593,17,,,,
594,18,13.0,107.0,,10.0
594,9,10.0,104.0,,12.0
595,17,29.0,111.0,33.0,5.0
595,18,16.0,113.0,42.0,22.0
596,15,,,,
597,18,,,,
598,11,32.0,129.0,,26.0
598,16,48.0,109.0,,9.0
599,17,9.0,93.0,12.0,4.0
599,28,6.0,99.0,,8.0
600,25,,,,
600,21,,,,
601,17,6.0,125.0,,3.0
601,14,5.0,99.0,,6.0
602,0,45.0,104.0,,35.0
602,25,32.0,107.0,,48.0
603,17,3.0,95.0,,4.0
603,29,4.0,104.0,,3.0
604,11,25.0,129.0,45.0,16.0
604,12,19.0,126.0,,22.0
605,21,18.0,118.0,,41.0
605,8,5.0,121.0,,53.0
606,28,22.0,98.0,,38.0
606,22,26.0,114.0,,33.0
607,1,,102.0,,
607,10,,86.0,,
608,20,19.0,101.0,,22.0
608,15,16.0,111.0,,24.0
609,27,,102.0,,
609,29,,94.0,,
610,19,,105.0,28.0,
610,2,,91.0,21.0,
611,14,25.0,116.0,,13.0
611,2,15.0,102.0,,22.0
612,15,,97.0,,
612,19,,95.0,,
613,23,16.0,108.0,,34.0
613,18,23.0,87.0,,28.0
614,9,17.0,79.0,15.0,12.0
614,25,8.0,109.0,,19.0
615,29,15.0,103.0,,5.0
615,27,17.0,102.0,,4.0
616,19,,,25.0,
616,9,,,37.0,
617,12,26.0,106.0,27.0,29.0
617,1,13.0,110.0,,42.0
618,5,13.0,110.0,,29.0
618,12,,98.0,,
619,15,2.0,88.0,,3.0
619,4,3.0,94.0,,2.0
620,1,15.0,106.0,,52.0
620,23,37.0,110.0,,30.0
621,25,2.0,106.0,,0.0
621,24,,117.0,20.0,2.0
622,5,9.0,131.0,,23.0
622,18,22.0,115.0,,9.0
623,12,5.0,104.0,,10.0
623,15,5.0,92.0,,9.0
624,15,,,,
625,22,3.0,114.0,,5.0
625,0,4.0,103.0,,5.0
626,1,6.0,121.0,,29.0
626,5,19.0,103.0,,16.0
627,18,,94.0,,
627,1,1.0,89.0,,1.0
628,23,,,21.0,
629,21,13.0,116.0,,36.0
629,5,24.0,108.0,,25.0
630,3,,121.0,,
630,26,43.0,118.0,,31.0
631,8,13.0,114.0,,54.0
631,22,15.0,95.0,,53.0
632,25,1.0,98.0,,1.0
632,12,1.0,87.0,,1.0
633,11,,,,
634,5,18.0,98.0,,37.0
634,25,18.0,76.0,,37.0
635,11,35.0,110.0,,22.0
635,7,31.0,114.0,,24.0
636,18,,,,
637,0,10.0,94.0,,15.0
637,25,11.0,108.0,,17.0
638,1,12.0,,,18.0
638,21,16.0,,,14.0
639,9,28.0,98.0,,18.0
639,8,6.0,118.0,,38.0
640,21,1.0,133.0,,2.0
640,8,,105.0,,
641,5,,142.0,,
641,17,,,,
642,20,19.0,86.0,,3.0
642,23,4.0,98.0,,17.0
643,15,,,14.0,
646,5,9.0,102.0,,5.0
646,27,6.0,107.0,,8.0
647,17,,,,
648,15,31.0,91.0,,31.0
648,6,25.0,101.0,,37.0
649,4,39.0,89.0,,29.0
649,25,21.0,107.0,,45.0
650,10,52.0,94.0,,16.0
650,20,44.0,83.0,,24.0
651,26,25.0,90.0,,28.0
651,1,8.0,116.0,,42.0
652,6,2.0,94.0,,5.0
652,2,5.0,92.0,26.0,3.0
653,26,29.0,122.0,,15.0
653,14,32.0,73.0,,16.0
654,17,45.0,97.0,,13.0
654,2,16.0,101.0,,42.0
655,2,26.0,121.0,,39.0
655,3,,114.0,,
656,6,14.0,113.0,,28.0
656,14,29.0,97.0,,15.0
657,13,,,,
658,14,41.0,119.0,,10.0
658,17,36.0,115.0,,14.0
659,12,,,,
660,22,8.0,106.0,,12.0
660,21,7.0,100.0,,11.0
661,24,,123.0,,
662,11,25.0,99.0,,18.0
662,28,26.0,100.0,,15.0
663,24,,,,
664,6,1.0,128.0,,
664,5,,95.0,,
665,20,11.0,92.0,18.0,12.0
665,2,10.0,93.0,,13.0
666,14,8.0,97.0,,2.0
666,20,5.0,85.0,,5.0
667,19,,128.0,,
667,20,34.0,96.0,,33.0
669,4,7.0,98.0,,8.0
669,20,11.0,86.0,,3.0
670,15,10.0,114.0,31.0,25.0
670,5,11.0,105.0,,23.0
671,7,10.0,104.0,,6.0
671,5,6.0,117.0,,10.0
672,20,9.0,107.0,,7.0
672,0,10.0,84.0,,4.0
673,15,12.0,101.0,,22.0
673,28,17.0,92.0,,19.0
674,27,,,25.0,
674,1,,,,
675,1,10.0,109.0,,55.0
675,15,31.0,101.0,,32.0
676,27,38.0,105.0,,25.0
676,8,11.0,112.0,,51.0
677,11,4.0,107.0,,5.0
677,5,5.0,98.0,,4.0
678,14,41.0,101.0,36.0,16.0
678,4,26.0,93.0,21.0,32.0
679,20,23.0,114.0,,10.0
679,7,20.0,95.0,,14.0
680,28,25.0,100.0,,42.0
680,15,35.0,80.0,,31.0
682,23,7.0,101.0,,25.0
682,27,28.0,79.0,,5.0
683,1,7.0,102.0,,30.0
683,29,18.0,85.0,,20.0
684,3,,,,
685,20,16.0,115.0,27.0,19.0
685,9,16.0,89.0,15.0,19.0
686,9,3.0,102.0,,2.0
686,7,4.0,94.0,16.0,2.0
687,22,10.0,85.0,,10.0
687,20,10.0,121.0,,11.0
688,28,4.0,115.0,29.0,4.0
688,27,5.0,87.0,,3.0
689,29,,,,
690,2,4.0,94.0,,3.0
690,23,3.0,100.0,24.0,4.0
691,10,12.0,89.0,,4.0
691,15,6.0,105.0,,10.0
692,17,14.0,112.0,,4.0
692,5,4.0,114.0,,15.0
693,18,17.0,119.0,,7.0
693,3,17.0,120.0,,8.0
694,10,1.0,97.0,,0.0
694,21,,103.0,,
695,11,,,,
696,17,15.0,100.0,20.0,9.0
696,11,14.0,112.0,,11.0
697,2,,95.0,,
697,8,2.0,108.0,,4.0
698,3,3.0,119.0,,0.0
698,8,,123.0,,3.0
699,23,38.0,107.0,,44.0
699,11,49.0,99.0,,33.0
700,7,5.0,103.0,,7.0
700,15,4.0,88.0,,8.0
701,28,33.0,106.0,,23.0
701,29,33.0,98.0,,23.0
702,2,6.0,81.0,,10.0
702,0,10.0,90.0,,5.0
703,4,40.0,99.0,,38.0
703,19,27.0,104.0,,51.0
704,23,7.0,102.0,,26.0
704,25,8.0,97.0,,24.0
705,23,8.0,107.0,,26.0
705,22,8.0,115.0,,25.0
706,29,4.0,95.0,,4.0
706,27,5.0,93.0,,4.0
707,8,,115.0,,
707,25,5.0,110.0,,7.0
708,5,39.0,100.0,,37.0
708,15,37.0,103.0,,38.0
709,0,,107.0,,
709,24,1.0,95.0,,0.0
710,29,19.0,106.0,19.0,6.0
710,18,14.0,111.0,28.0,13.0
711,0,20.0,130.0,,9.0
711,9,17.0,136.0,,13.0
712,20,,91.0,,
713,13,,,,
714,7,50.0,116.0,,27.0
714,17,61.0,111.0,,16.0
715,22,,99.0,,
715,16,,92.0,,
716,16,16.0,85.0,,13.0
716,12,20.0,110.0,,11.0
717,5,,140.0,,
718,0,30.0,125.0,,21.0
718,10,,102.0,,
719,22,21.0,113.0,,30.0
719,9,33.0,86.0,,20.0
720,23,27.0,103.0,,24.0
720,25,16.0,110.0,,34.0
722,22,25.0,90.0,,32.0
722,0,,108.0,,
723,11,,,,
724,17,49.0,121.0,22.0,25.0
724,18,54.0,116.0,32.0,20.0
725,23,,112.0,,
725,3,2.0,94.0,,0.0
726,8,4.0,,,
727,8,6.0,119.0,,31.0
727,2,16.0,128.0,,23.0
